COUNTRY,GENDER,AGE,MARITAL,EMPLOYMENT,INCOME,RELG_NOW,SPIRIT_NOW,AFFILIATION,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
Brazil,2,25,1,1,7,7,7,Christian,4.0,-2.0,4.2,51.0,58.0,22,35.0,-2,3.0,28.0,-20.0
Indonesia,2,45,3,1,3,4,4,Christian,2.0,0.416666667,0.666666667,52.0,22.0,7,22.0,12,-6.0,24.0,-2.0
China,1,37,3,1,6,7,7,Christian,1.5,-3.916666667,2.733333333,51.0,46.0,8,30.0,17,6.0,28.0,-20.0
Brazil,1,60,3,7,8,7,8,Christian,3.0,-3.833333333,0.266666667,49.0,31.0,8,31.0,-8,12.0,28.0,-28.0
Brazil,2,27,1,1,6,6,2,Christian,2.666666667,4.0,6.333333333,54.0,38.0,19,12.0,-8,4.0,26.0,-17.0
Indonesia,2,35,3,1,7,5,4,Christian,3.5,2.916666667,6.8,57.0,37.0,9,27.0,22,-3.0,28.0,1.0
Brazil,1,25,1,4,5,6,5,Christian,2.666666667,0.416666667,0.6,57.0,41.0,12,31.0,21,10.0,13.0,6.0
Brazil,1,18,1,5,7,7,7,Christian,1.5,-0.166666667,6.6,57.0,78.0,20,14.0,24,-7.0,24.0,-10.0
Brazil,1,32,1,1,5,4,4,Christian,4.0,2.333333333,5.133333333,56.0,53.0,12,14.0,-1,-1.0,28.0,-1.0
Indonesia,1,35,3,1,5,4,3,Christian,0.0,0.0,4.0,57.0,26.0,11,22.0,8,0.0,9.0,-7.0
Brazil,1,26,3,"1,4",4,4,2,Christian,4.0,-4.0,0.0,54.0,25.0,12,6.0,12,10.0,9.0,8.0
Indonesia,2,34,3,1,6,6,6,Christian,4.0,-4.0,0.933333333,45.0,26.0,10,33.0,18,7.0,28.0,4.0
Brazil,1,37,1,1,7,6,6,Christian,2.833333333,-0.833333333,4.066666667,53.0,27.0,15,21.0,-1,-1.0,21.0,10.0
Brazil,2,23,1,1,5,6,7,Christian,4.0,-2.0,5.533333333,51.0,65.0,18,29.0,12,9.0,27.0,-24.0
Brazil,2,58,3,4,1,8,7,Christian,3.0,-4.0,1.4,52.0,28.0,20,35.0,4,11.0,28.0,-28.0
Indonesia,1,38,3,1,7,6,5,Christian,3.666666667,0.0,3.0,56.0,40.0,9,31.0,12,10.0,28.0,-24.0
Thailand,2,36,2,1,5,6,4,Christian,2.0,-0.916666667,4.133333333,49.0,40.0,11,33.0,4,-3.0,26.0,-20.0
Thailand,2,67,3,1,7,6,3,Christian,1.666666667,-0.333333333,3.333333333,52.0,47.0,9,29.0,15,1.0,0.0,0.0
Indonesia,1,18,1,"5,7",8,6,3,Christian,2.166666667,2.083333333,6.066666667,57.0,44.0,10,29.0,17,1.0,26.0,-8.0
China,1,26,3,1,4,3,5,Christian,-1.0,2.0,4.733333333,56.0,45.0,14,22.0,6,-7.0,28.0,-21.0
Indonesia,2,47,3,2,3,5,4,Christian,4.0,0.333333333,4.333333333,54.0,35.0,8,24.0,20,-4.0,27.0,-21.0
Thailand,2,44,3,1,5,7,6,Christian,2.666666667,-0.916666667,3.933333333,54.0,39.0,12,22.0,12,-9.0,22.0,-16.0
Indonesia,1,41,1,1,7,7,5,Christian,3.833333333,-3.0,3.533333333,52.0,42.0,10,32.0,8,-6.0,27.0,-16.0
China,1,32,3,1,7,1,1,Christian,0.5,1.416666667,6.133333333,55.0,36.0,9,14.0,1,0.0,23.0,-8.0
India,2,35,3,1,9,6,8,Christian,1.333333333,-0.083333333,4.0,49.0,42.0,18,28.0,4,9.0,27.0,1.0
India,1,30,3,1,7,7,7,Christian,2.166666667,-0.166666667,5.0,56.0,40.0,9,31.0,11,5.0,27.0,-16.0
India,1,34,3,5,4,6,6,Christian,3.166666667,-3.666666667,0.0,56.0,30.0,8,25.0,18,8.0,13.0,-4.0
India,2,40,3,1,7,5,5,Christian,3.666666667,1.083333333,5.333333333,54.0,44.0,14,19.0,4,-5.0,21.0,-14.0
India,1,47,3,1,7,6,7,Christian,2.333333333,1.25,2.066666667,50.0,39.0,12,32.0,16,-6.0,24.0,-20.0
Indonesia,1,32,3,1,6,5,5,Christian,3.5,-2.333333333,3.866666667,57.0,32.0,9,25.0,17,4.0,27.0,-5.0
Indonesia,2,28,3,1,9,2,1,Christian,2.0,0.333333333,3.4,56.0,35.0,11,5.0,-10,5.0,13.0,-13.0
Indonesia,1,35,3,2,6,4,4,Christian,1.833333333,0.916666667,3.933333333,48.0,39.0,11,25.0,12,0.0,28.0,-28.0
Indonesia,2,36,3,1,2,4,4,Christian,4.0,-4.0,0.8,49.0,34.0,14,17.0,12,-6.0,21.0,21.0
China,2,35,2,1,6,8,8,Christian,3.666666667,0.0,0.0,57.0,29.0,8,23.0,23,6.0,28.0,-28.0
Thailand,2,25,1,2,4,4,2,Christian,0.0,-2.666666667,2.666666667,49.0,33.0,11,14.0,-7,-5.0,12.0,-10.0
China,1,24,1,1,6,6,8,Christian,3.666666667,-1.833333333,1.8,56.0,59.0,11,35.0,24,-7.0,6.0,25.0
China,1,27,3,1,9,7,1,Christian,2.666666667,2.333333333,5.266666667,58.0,32.0,8,31.0,16,10.0,15.0,17.0
China,1,28,3,1,5,2,3,Christian,1.833333333,2.916666667,6.666666667,53.0,56.0,12,26.0,15,1.0,5.0,-8.0
USA,2,32,3,1,6,6,5,Christian,4.0,-0.25,4.8,13.0,50.0,11,36.0,19,4.0,18.0,-6.0
USA,2,30,3,1,7,4,3,Christian,0.0,0.5,4.8,4.0,21.0,8,20.0,0,9.0,0.0,1.0
USA,1,49,3,3,3,3,4,Christian,1.666666667,0.0,5.0,17.0,36.0,14,20.0,-2,5.0,22.0,-16.0
USA,1,58,3,1,5,1,3,Christian,2.833333333,0.5,4.2,4.0,22.0,9,3.0,-6,9.0,21.0,-28.0
USA,2,29,2,1,5,6,6,Christian,2.333333333,2.083333333,3.066666667,0.0,21.0,5,29.0,10,6.0,7.0,10.0
USA,2,29,3,1,6,4,4,Christian,0.0,0.0,4.0,0.0,63.0,15,20.0,0,0.0,0.0,0.0
USA,1,22,1,7,2,5,5,Christian,2.833333333,2.416666667,5.933333333,5.0,66.0,17,18.0,14,-10.0,18.0,7.0
USA,2,32,2,1,6,1,1,Christian,0.0,-3.0,1.0,0.0,27.0,5,5.0,-18,10.0,14.0,-3.0
USA,2,25,1,1,4,2,4,Christian,1.0,-4.0,0.0,0.0,21.0,5,0.0,6,15.0,28.0,6.0
USA,2,22,1,4,7,4,6,Christian,1.0,0.666666667,3.866666667,12.0,61.0,17,22.0,12,4.0,1.0,-10.0
USA,2,21,1,7,7,1,1,Christian,1.5,0.25,4.066666667,3.0,22.0,8,5.0,-9,0.0,0.0,6.0
USA,1,26,3,1,2,7,8,Christian,4.0,0.333333333,5.2,9.0,29.0,17,13.0,23,7.0,28.0,-24.0
USA,1,25,1,1,7,5,4,Christian,0.666666667,-1.0,3.6,14.0,62.0,14,20.0,9,1.0,-2.0,9.0
USA,2,27,3,1,6,5,5,Christian,3.333333333,1.666666667,1.066666667,3.0,24.0,7,8.0,-2,4.0,28.0,-24.0
USA,1,52,3,1,5,5,6,Christian,4.0,3.166666667,6.266666667,7.0,28.0,10,10.0,1,6.0,28.0,-28.0
USA,1,58,3,3,6,8,8,Christian,4.0,1.083333333,4.933333333,6.0,24.0,7,16.0,23,10.0,28.0,-28.0
USA,2,30,1,2,5,0,0,Christian,0.0,-1.916666667,2.466666667,2.0,55.0,15,0.0,0,-12.0,9.0,19.0
USA,1,45,3,1,6,4,5,Christian,1.666666667,2.75,5.733333333,3.0,52.0,14,14.0,-2,6.0,11.0,0.0
USA,1,26,2,1,8,6,6,Christian,4.0,-4.0,4.0,0.0,21.0,5,16.0,24,15.0,28.0,-20.0
USA,2,32,2,1,3,5,7,Christian,2.166666667,-2.666666667,3.733333333,1.0,37.0,17,21.0,12,3.0,24.0,-4.0
USA,2,35,2,1,7,1,2,Christian,1.833333333,-1.25,2.733333333,3.0,27.0,10,3.0,-12,7.0,24.0,-13.0
USA,1,52,2,1,7,7,6,Christian,3.333333333,0.083333333,4.533333333,8.0,36.0,11,21.0,6,4.0,14.0,9.0
USA,2,40,1,2,6,5,8,Christian,4.0,1.0,4.733333333,8.0,34.0,10,31.0,1,6.0,28.0,-28.0
USA,2,26,3,1,2,1,1,Christian,1.0,-4.0,0.0,0.0,21.0,6,0.0,-24,10.0,14.0,-7.0
USA,2,41,3,1,7,5,5,Christian,4.0,-2.833333333,1.0,2.0,22.0,10,15.0,-10,9.0,28.0,-14.0
USA,1,36,5,1,4,7,8,Christian,4.0,-2.083333333,3.133333333,14.0,33.0,15,15.0,1,0.0,28.0,-19.0
USA,1,51,1,7,1,1,2,Christian,0.833333333,0.166666667,3.466666667,3.0,29.0,9,8.0,-6,5.0,28.0,-13.0
USA,2,42,3,1,5,7,7,Christian,1.166666667,0.083333333,4.333333333,6.0,58.0,13,35.0,15,10.0,26.0,-16.0
USA,1,29,5,1,6,5,6,Christian,1.5,0.5,4.466666667,5.0,52.0,15,30.0,5,3.0,6.0,1.0
USA,2,29,1,1,2,3,3,Christian,1.833333333,1.0,5.266666667,2.0,52.0,20,21.0,0,-12.0,7.0,0.0
